FIPStxt,Stabr,Area_name,POVALL_2019
01000,AL,Alabama,"747,478"
02000,AK,Alaska,"73,033"
04000,AZ,Arizona,"963,007"
05000,AR,Arkansas,"468,575"
06000,CA,California,"4,560,419"
08000,CO,Colorado,"531,331"
09000,CT,Connecticut,"343,101"
10000,DE,Delaware,"106,227"
11001,DC,District of Columbia,"94,985"
12000,FL,Florida,"2,681,832"
13000,GA,Georgia,"1,397,607"
15000,HI,Hawaii,"124,650"
16000,ID,Idaho,"193,741"
17000,IL,Illinois,"1,415,838"
18000,IN,Indiana,"773,367"
19000,IA,Iowa,"337,156"
20000,KS,Kansas,"319,931"
21000,KY,Kentucky,"692,875"
22000,LA,Louisiana,"847,739"
23000,ME,Maine,"141,566"
24000,MD,Maryland,"537,717"
25000,MA,Massachusetts,"631,551"
26000,MI,Michigan,"1,264,445"
27000,MN,Minnesota,"491,782"
28000,MS,Mississippi,"559,764"
29000,MO,Missouri,"766,238"
30000,MT,Montana,"130,974"
31000,NE,Nebraska,"186,402"
32000,NV,Nevada,"384,900"
33000,NH,New Hampshire,"98,310"
34000,NJ,New Jersey,"795,676"
35000,NM,New Mexico,"358,526"
36000,NY,New York,"2,471,760"
37000,NC,North Carolina,"1,383,760"
38000,ND,North Dakota,"77,327"
39000,OH,Ohio,"1,474,285"
40000,OK,Oklahoma,"578,631"
41000,OR,Oregon,"474,302"
42000,PA,Pennsylvania,"1,481,193"
44000,RI,Rhode Island,"118,095"
45000,SC,South Carolina,"695,259"
46000,SD,South Dakota,"101,371"
47000,TN,Tennessee,"919,850"
48000,TX,Texas,"3,870,944"
49000,UT,Utah,"279,435"
50000,VT,Vermont,"60,624"
51000,VA,Virginia,"822,944"
53000,WA,Washington,"731,216"
54000,WV,West Virginia,"281,175"
56000,WY,Wyoming,"55,776"
