State,2018 Population,2020vote
California,39776830,Biden
Texas,28704330,Trump
Florida,21312211,Trump
New York,19862512,Biden
Pennsylvania,12823989,Biden
Illinois,12768320,Biden
Ohio,11694664,Trump
Georgia,10545138,Biden
North Carolina,10390149,Trump
Michigan,9991177,Biden
New Jersey,9032872,Biden
Virginia,8525660,Biden
Washington,7530552,Biden
Arizona,7123898,Biden
Massachusetts,6895917,Biden
Tennessee,6782564,Trump
Indiana,6699629,Trump
Missouri,6135888,Trump
Maryland,6079602,Biden
Wisconsin,5818049,Biden
Colorado,5684203,Biden
Minnesota,5628162,Biden
South Carolina,5088916,Trump
Alabama,4888949,Trump
Louisiana,4682509,Trump
Kentucky,4472265,Trump
Oregon,4199563,Biden
Oklahoma,3940521,Trump
Connecticut,3588683,Biden
Iowa,3160553,Trump
Utah,3159345,Trump
Nevada,3056824,Biden
Arkansas,3020327,Trump
Mississippi,2982785,Trump
Kansas,2918515,Trump
New Mexico,2090708,Biden
Nebraska,1932549,Trump
West Virginia,1803077,Trump
Idaho,1753860,Trump
Hawaii,1426393,Biden
New Hampshire,1350575,Biden
Maine,1341582,Biden
Montana,1062330,Trump
Rhode Island,1061712,Biden
Delaware,971180,Biden
South Dakota,877790,Trump
North Dakota,755238,Trump
Alaska,738068,Trump
District of Columbia,703608,Biden
Vermont,623960,Biden
Wyoming,573720,Trump
